	word	emotion	association
333	fanci	joy	1
334	fantast	surprise	1
335	fascin	joy	1
336	favor	joy	1
337	favorably	joy	1
338	favour	joy	1
339	favourable	joy	1
340	favourably	joy	1
341	fearfulness	fear	1
342	fearsom	fear	1
343	fed_up	anger	1
344	feeling_of_ident	joy	1
345	feeling_of_identity	joy	1
346	fellow_feel	joy	1
347	fellow_feeling	joy	1
348	festal	joy	1
349	festive	joy	1
350	flummox	surprise	1
351	fond_regard	joy	1
352	fondly	joy	1
353	fondness	joy	1
354	forebod	fear	1
355	foreboding	fear	1
356	forlornly	sadness	1
357	fratern	joy	1
358	fraternal	joy	1
359	friend	joy	1
360	friendli	joy	1
361	friendliness	joy	1
362	friendly	joy	1
363	frighten_away	fear	1
364	frighten_off	fear	1
365	frustrate	anger	1
366	fulfil	joy	1
367	fulfill	joy	1
368	fulfillment	joy	1
369	fulfilment	joy	1
370	furi	anger	1
371	gaieti	joy	1
372	gala	joy	1
373	galling	anger	1
374	gayli	joy	1
375	gayly	joy	1
376	get_at	anger	1
377	get_down	sadness	1
378	get_to	anger	1
379	giving_protect	joy	1
380	giving_protection	joy	1
381	gladdened	joy	1
382	gladfulness	joy	1
383	gladsom	joy	1
384	gladsome	joy	1
385	gladsomeness	joy	1
386	glee	joy	1
387	gleefulli	joy	1
388	gleefully	joy	1
389	gleefulness	joy	1
390	gloat	joy	1
391	gloating	joy	1
392	gloatingly	joy	1
393	gloomful	sadness	1
394	gloomi	sadness	1
395	gloomili	sadness	1
396	gloomily	sadness	1
397	gloominess	sadness	1
398	glooming	sadness	1
399	godforsaken	sadness	1
400	good_wil	joy	1
401	good_will	joy	1
402	goodwil	joy	1
403	goodwill	joy	1
404	grabbi	anger	1
405	grabby	anger	1
406	grasp	anger	1
407	grasping	anger	1
408	gratifi	joy	1
409	gratify	joy	1
410	gratifyingly	joy	1
411	greedi	anger	1
412	greedy	anger	1
413	green-ey	anger	1
414	green-eyed	anger	1
415	green-eyed_monst	anger	1
416	green-eyed_monster	anger	1
417	griev	sadness	1
418	grievanc	anger	1
419	grievously	sadness	1
420	grizzl	anger	1
421	grudg	anger	1
422	guilt_feel	sadness	1
423	guilt_feelings	sadness	1
424	guilt_trip	sadness	1
425	guilti	sadness	1
426	guilty_consci	sadness	1
427	guilty_conscience	sadness	1
428	gusto	joy	1
429	hackle	anger	1
430	happiness	joy	1
431	happily	joy	1
432	hardheart	fear	1
433	hardhearted	fear	1
434	hardheartedness	fear	1
435	harri	anger	1
436	harried	anger	1
437	hateful	anger	1
438	hatefully	anger	1
439	hatr	anger	1
440	heartach	sadness	1
441	heartburn	anger	1
442	heartburning	anger	1
443	hearten	joy	1
444	heartlessly	fear	1
445	heartrend	sadness	1
446	heartsickness	sadness	1
447	heavyheart	sadness	1
448	heavyhearted	sadness	1
449	heavyheartedness	sadness	1
450	helpless	sadness	1
451	helplessness	sadness	1
452	hero_worship	joy	1
453	hesit	fear	1
454	hesitance	fear	1
455	hideously	fear	1
456	high_dudgeon	anger	1
457	high_spirit	joy	1
458	high_spirits	joy	1
459	high-spirit	joy	1
460	high-spirited	joy	1
461	hilarious	joy	1
462	hilari	joy	1
463	hilariously	joy	1
464	hilarity	joy	1
465	horrend	fear	1
466	horribly	fear	1
467	horrid	fear	1
468	horridly	fear	1
469	horrifying	fear	1
470	horrifiable	fear	1
471	horrifyingly	fear	1
472	horror-stricken	fear	1
473	hostil	anger	1
474	hostile	anger	1
475	hostilely	anger	1
476	howling	surprise	1
477	huffi	anger	1
478	huffili	anger	1
479	huffily	anger	1
480	huffiness	anger	1
481	huffish	anger	1
482	huffishness	anger	1
483	hyster	fear	1
484	hysterically	fear	1
485	identif	joy	1
486	identifi	joy	1
487	identification	joy	1
488	identify	joy	1
489	ill_temp	anger	1
490	ill_temper	anger	1
491	ill_wil	anger	1
492	ill_will	anger	1
493	impress	joy	1
494	in_awe_of	surprise	1
495	incense	anger	1
496	incensed	anger	1
497	indign	anger	1
498	infatu	joy	1
499	infatuation	joy	1
500	infuri	anger	1
501	insouci	joy	1
502	insouciance	joy	1
503	inspirational	joy	1
504	inspire	joy	1
505	interest	joy	1
506	intimate	joy	1
507	intimacy	joy	1
508	intimid	fear	1
509	intoxic	joy	1
510	intoxicate	joy	1
511	irasc	anger	1
512	irascibility	anger	1
513	irritate	anger	1
514	jealousi	anger	1
515	jocularity	joy	1
516	jocund	joy	1
517	jocundity	joy	1
518	jolli	joy	1
519	jolliti	joy	1
520	jollity	joy	1
521	jolly_along	joy	1
522	jolly_up	joy	1
523	jovial	joy	1
524	joviality	joy	1
525	joyfully	joy	1
526	joyfulness	joy	1
527	joylessly	sadness	1
528	joylessness	sadness	1
529	joyously	joy	1
530	joyousness	joy	1
531	jubilant	joy	1
532	jubilance	joy	1
533	jubilancy	joy	1
534	jubilantly	joy	1
535	jubilate	joy	1
536	jubilation	joy	1
537	jump_for_joy	joy	1
538	keenness	joy	1
539	kid	joy	1
540	kind	joy	1
541	kindheart	joy	1
542	kindhearted	joy	1
543	kindheartedness	joy	1
544	kindly	joy	1
545	lachrymos	sadness	1
546	laden	sadness	1
547	lamentably	sadness	1
548	laudable	joy	1
549	laudably	joy	1
550	lift_up	joy	1
551	lightheartedness	joy	1
552	lightsome	joy	1
553	lightsomeness	joy	1
554	likable	joy	1
555	likable	joy	1
556	likeabl	joy	1
557	likeable	joy	1
558	liking	joy	1
559	live_up_to	joy	1
560	lividity	anger	1
561	lividly	anger	1
562	loathe	anger	1
563	loathly	anger	1
564	loathsom	anger	1
565	loathsome	anger	1
566	loneliness	sadness	1
567	long-face	sadness	1
568	long-faced	sadness	1
569	look_for	joy	1
570	look_to	joy	1
571	look_up_to	joy	1
572	love	joy	1
573	lovesom	joy	1
574	lovesome	joy	1
575	lovingly	joy	1
576	lovingness	joy	1
577	low-spirit	sadness	1
578	low-spiritedness	sadness	1
579	loyalti	joy	1
580	loyalty	joy	1
581	maddened	anger	1
582	malef	anger	1
583	malefic	anger	1
584	maleficence	anger	1
585	malevol	anger	1
586	malevolence	anger	1
587	malevolent	anger	1
588	malevolently	anger	1
589	malic	anger	1
590	malicious	anger	1
591	maliciously	anger	1
592	malignity	anger	1
593	marvellously	surprise	1
594	marvelously	surprise	1
595	melanchol	sadness	1
596	melancholi	sadness	1
597	merciless	fear	1
598	mercilessness	fear	1
599	merri	joy	1
600	merrili	joy	1
601	merrily	joy	1
602	merriment	joy	1
603	mirth	joy	1
604	mirthfully	joy	1
605	mirthfulness	joy	1
606	misanthrop	anger	1
607	misanthropi	anger	1
608	misanthropic	anger	1
609	misanthropical	anger	1
610	misanthropy	anger	1
611	miseri	sadness	1
612	misfortun	sadness	1
613	misfortunate	sadness	1
614	misocainea	anger	1
615	misogami	anger	1
616	misogamy	anger	1
617	misogyn	anger	1
618	misogyni	anger	1
619	misogynic	anger	1
620	misogynism	anger	1
621	misogyny	anger	1
622	misolog	anger	1
623	mison	anger	1
624	misopedia	anger	1
625	monstrous	fear	1
626	monstrously	fear	1
627	mournfully	sadness	1
628	mournfulness	sadness	1
629	murderously	anger	1
630	murderousness	anger	1
631	mystifi	surprise	1
632	mystify	surprise	1
633	nausea	anger	1
634	nauseat	anger	1
635	nauseated	anger	1
636	nauseating	anger	1
637	nauseous	anger	1
638	nettl	anger	1
639	nettled	anger	1
640	nettlesom	anger	1
641	night	joy	1
642	noisom	anger	1
643	noisome	anger	1
644	nonplus	surprise	1
645	obscen	anger	1
646	obscene	anger	1
647	occupi	joy	1
648	occupy	joy	1
649	odious	anger	1
650	odiously	anger	1
651	odium	anger	1
652	offering_protect	joy	1
653	offering_protection	joy	1
654	oppressively	sadness	1
655	oppressiveness	sadness	1
656	overjeal	anger	1
657	overjealous	anger	1
658	panic_attack	fear	1
659	panick	fear	1
660	panicked	fear	1
661	panicki	fear	1
662	partial	joy	1
663	partiality	joy	1
664	pathet	sadness	1
665	peev	anger	1
666	penanc	sadness	1
667	penchant	joy	1
668	penit	sadness	1
669	penitenti	sadness	1
670	penitentially	sadness	1
671	penitently	sadness	1
672	pep_up	joy	1
673	perki	joy	1
674	perkiness	joy	1
675	persecuted	sadness	1
676	peski	anger	1
677	pesky	anger	1
678	pestered	anger	1
679	pestering	anger	1
680	pestifer	anger	1
681	pestiferous	anger	1
682	pick_up	joy	1
683	piqu	anger	1
684	piss	anger	1
685	piti	sadness	1
686	pitiabl	sadness	1
687	pitiable	sadness	1
688	pitilessness	fear	1
689	pitying	sadness	1
690	plaguey	anger	1
691	plaguy	anger	1
692	plaintiv	sadness	1
693	plaintiveness	sadness	1
694	pleas	joy	1
695	praiseworthili	joy	1
696	praiseworthily	joy	1
697	predilect	joy	1
698	predilection	joy	1
699	preen	joy	1
700	prefer	joy	1
701	preference	joy	1
702	prehensil	anger	1
703	prehensile	anger	1
704	premonit	fear	1
705	presag	fear	1
706	presage	fear	1
707	frenzy	fear	1
708	presentiment	fear	1
709	pride	joy	1
710	prideful	joy	1
711	protect	joy	1
712	protective	joy	1
713	protectively	joy	1
714	protectiveness	joy	1
715	proudly	joy	1
716	provoke	anger	1
717	provoked	anger	1
718	puppy_lov	joy	1
719	puppy_love	joy	1
720	puzzle	surprise	1
721	queasi	anger	1
722	quick_temp	anger	1
723	quick_temper	anger	1
724	rag	anger	1
725	rapport	joy	1
726	rattle	surprise	1
727	rattling	surprise	1
728	recreat	joy	1
729	recreate	joy	1
730	regard	joy	1
731	rejoice	joy	1
732	rejoicing	joy	1
733	relish	joy	1
734	remorse	sadness	1
735	remorsefully	sadness	1
736	repel	anger	1
737	repellant	anger	1
738	repellent	anger	1
739	repentantly	sadness	1
740	repugn	anger	1
741	repugnance	anger	1
742	repugnant	anger	1
743	repuls	anger	1
744	repulse	anger	1
745	repulsion	anger	1
746	repulsive	anger	1
747	repulsively	anger	1
748	resentfully	anger	1
749	respect	joy	1
750	revel	joy	1
751	revengefully	anger	1
752	revengefully	anger	1
753	revolting	anger	1
754	revoltingly	anger	1
755	revuls	anger	1
756	riled	anger	1
757	riotously	joy	1
758	roiled	anger	1
759	romant	joy	1
760	romantic	joy	1
761	ruefulli	sadness	1
762	ruefulness	sadness	1
763	rush	joy	1
764	ruthfulness	sadness	1
765	ruthless	fear	1
766	saddening	sadness	1
767	satiable	joy	1
768	satiable	joy	1
769	satisfaction	joy	1
770	satisfactory	joy	1
771	satisfactorily	joy	1
772	satisfactorily	joy	1
773	satisfi	joy	1
774	satisfiable	joy	1
775	satisfyingly	joy	1
776	scare_away	fear	1
777	scare_off	fear	1
778	scarey	fear	1
779	scary	fear	1
780	scarili	fear	1
781	scarily	fear	1
782	schadenfreud	joy	1
783	schadenfreude	joy	1
784	score	anger	1
785	screaming	joy	1
786	see_r	anger	1
787	see_red	anger	1
788	self-complac	joy	1
789	self-complacency	joy	1
790	self-distrust	fear	1
791	self-piti	sadness	1
792	self-satisfact	joy	1
793	self-satisfaction	joy	1
794	self-satisfi	joy	1
795	self-satisfied	joy	1
796	shamed	sadness	1
797	shamefac	sadness	1
798	shamefaced	sadness	1
799	shi	fear	1
800	shiveri	fear	1
801	short_temp	anger	1
802	short_temper	anger	1
803	shudderi	fear	1
804	shuddery	fear	1
805	shyli	fear	1
806	shyly	fear	1
807	sick_of	anger	1
808	sickeningly	anger	1
809	sickish	anger	1
810	smugness	joy	1
811	soft_spot	joy	1
812	soft-boil	joy	1
813	soft-boiled	joy	1
814	softheart	joy	1
815	softhearted	joy	1
816	softheartedness	joy	1
817	solac	joy	1
818	somberness	sadness	1
819	sooth	joy	1
820	sorri	sadness	1
821	sorrowfully	sadness	1
822	sorrowfulness	sadness	1
823	sorrowing	sadness	1
824	sorry_for	sadness	1
825	spitefulness	anger	1
826	stage_fright	fear	1
827	stimul	joy	1
828	stimulating	joy	1
829	stupefact	surprise	1
830	stupefi	surprise	1
831	stupefied	surprise	1
832	stupefying	surprise	1
833	stupifi	surprise	1
834	stupify	surprise	1
835	sulki	anger	1
836	sulkiness	anger	1
837	sunni	joy	1
838	superbl	surprise	1
839	superbly	surprise	1
840	surpris	surprise	1
841	surprisedly	surprise	1
842	sympathet	joy	1
843	sympathetically	joy	1
844	sympathi	joy	1
845	tantal	anger	1
846	tantalize	anger	1
847	tast	joy	1
848	taste	joy	1
849	tearfulness	sadness	1
850	teased	joy	1
851	teasing	anger	1
852	tender	joy	1
853	terrible	fear	1
854	terrific	surprise	1
855	terrifiable	fear	1
856	terrifically	surprise	1
857	the_green-eyed_monst	anger	1
858	the_green-eyed_monster	anger	1
859	thirstili	joy	1
860	thirstily	joy	1
861	tickl	joy	1
862	tickle	joy	1
863	timidly	fear	1
864	timidness	fear	1
865	timor	fear	1
866	timorously	fear	1
867	timorousness	fear	1
868	tired_of	anger	1
869	titil	joy	1
870	titillate	joy	1
871	titillated	joy	1
872	titillating	joy	1
873	titillation	joy	1
874	togeth	joy	1
875	togetherness	joy	1
876	top	surprise	1
877	toppingly	surprise	1
878	tranc	joy	1
879	tremend	surprise	1
880	trepid	fear	1
881	trepidly	fear	1
882	triumph	joy	1
883	triumphal	joy	1
884	triumphant	joy	1
885	triumphantly	joy	1
886	trounc	surprise	1
887	trounce	surprise	1
888	turn_off	anger	1
889	tyrann	sadness	1
890	tyrannical	sadness	1
891	tyrannous	sadness	1
892	ugli	fear	1
893	umbrag	anger	1
894	umbrageous	anger	1
895	unassert	fear	1
896	unassertive	fear	1
897	unassertively	fear	1
898	unassertiveness	fear	1
899	uncheer	sadness	1
900	uncheerfulness	sadness	1
901	uneasili	fear	1
902	uneasily	fear	1
903	unhappiness	sadness	1
904	unkind	fear	1
905	unsure	fear	1
906	unworried	joy	1
907	uplift	joy	1
908	uproari	joy	1
909	uproarious	joy	1
910	uproariously	joy	1
911	urg	joy	1
912	urge	joy	1
913	urge_on	joy	1
914	veng	anger	1
915	vengefully	anger	1
916	vengefulness	anger	1
917	vexat	anger	1
918	vexati	anger	1
919	vexed	anger	1
920	vexing	anger	1
921	vindict	anger	1
922	vindictive	anger	1
923	vindictively	anger	1
924	vindictiveness	anger	1
925	walk_on_air	joy	1
926	warmheart	joy	1
927	warmhearted	joy	1
928	warmheartedness	joy	1
929	warpath	anger	1
930	weakness	joy	1
931	weepi	sadness	1
932	weepiness	sadness	1
933	weeping	sadness	1
934	weight	sadness	1
935	Weltschmerz	sadness	1
936	wick	anger	1
937	with_empathi	joy	1
938	with_empathy	joy	1
939	with_happi	joy	1
940	with_happiness	joy	1
941	with_hostil	anger	1
942	with_hostility	anger	1
943	with_prid	joy	1
944	with_pride	joy	1
945	with_sympathi	joy	1
946	with_sympathy	joy	1
947	woebegon	sadness	1
948	woefulli	sadness	1
949	woefulness	sadness	1
950	wondrously	surprise	1
951	world-weari	sadness	1
952	world-weariness	sadness	1
953	world-weary	sadness	1
954	worri	joy	1
955	worship	joy	1
956	worshipful	joy	1
957	wrathfully	anger	1
958	yucki	anger	1
959	yucky	anger	1
960	zeal	joy	1
961	zealous	joy	1
962	zest	joy	1
963	zestfulness	joy	1
964	acquitted	joy	1
965	adorable	joy	1
966	adored	joy	1
967	affected	surprise	1
968	afflicted	sadness	1
969	aghast	fear	1
970	agog	surprise	1
971	agonized	sadness	1
972	alarmed	fear	1
973	amused	joy	1
974	angry	anger	1
975	anguished	sadness	1
976	animated	joy	1
977	annoyed	anger	1
978	anxious	surprise	1
979	appalled	anger	1
980	appeased	joy	1
981	appreciated	joy	1
982	approved of	joy	1
983	ardent	fear	1
984	aroused	fear	1
985	attached	joy	1
986	attracted	surprise	1
987	awed	fear	1
988	awkward	sadness	1
989	beaten down	sadness	1
990	beatific	joy	1
991	belonging	joy	1
992	bereaved	sadness	1
993	betrayed	anger	1
994	bewildered	surprise	1
995	bitter	anger	1
996	blissful	joy	1
997	blithe	joy	1
998	blocked	sadness	1
999	blue	sadness	1
1000	boiling	anger	1
1001	bold	fear	1
1002	bored	sadness	1
1003	brave	fear	1
1004	bright	joy	1
1005	brisk	joy	1
1006	calm	joy	1
1007	capable	fear	1
1008	captivated	joy	1
1009	careless	sadness	1
1010	categorized	joy	1
1011	cautious	fear	1
1012	certain	fear	1
1013	chagrined	sadness	1
1014	challenged	surprise	1
1015	chastised	sadness	1
1016	cheated	anger	1
1017	cheerful	joy	1
1018	cheerless	sadness	1
1019	cheery	joy	1
1020	cherished	joy	1
1021	chicken	fear	1
1022	cocky	joy	1
1023	codependent	joy	1
1024	coerced	anger	1
1025	comfortable	joy	1
1026	common	fear	1
1027	competent	fear	1
1028	complacent	sadness	1
1029	composed	fear	1
1030	concerned	surprise	1
1031	confident	fear	1
1032	confused	surprise	1
1033	connected	joy	1
1034	conned	anger	1
1035	consumed	fear	1
1036	contented	joy	1
1037	controlled	sadness	1
1038	convivial	joy	1
1039	cornered	joy	1
1040	courageous	fear	1
1041	cowardly	fear	1
1042	craving	surprise	1
1043	crestfallen	sadness	1
1044	criticized	sadness	1
1045	cross	anger	1
1046	cross-examined	joy	1
1047	crushed	sadness	1
1048	curious	surprise	1
1049	cut off	sadness	1
1050	daring	fear	1
1051	dark	sadness	1
1052	dedicated	surprise	1
1053	defeated	sadness	1
1054	defenseless	fear	1
1055	degraded	sadness	1
1056	dejected	sadness	1
1057	depressed	sadness	1
1058	deserted	sadness	1
1059	desirable	joy	1
1060	despondent	sadness	1
1061	detached	sadness	1
1062	determined	joy	1
1063	diminished	sadness	1
1064	disappointed	sadness	1
1065	discarded	sadness	1
1066	disconsolate	sadness	1
1067	discontented	sadness	1
1068	discounted	sadness	1
1069	discouraged	sadness	1
1070	disgraced	sadness	1
1071	disgusted	anger	1
1072	disillusioned	sadness	1
1073	disjointed	fear	1
1074	dismal	sadness	1
1075	dismayed	fear	1
1076	disoriented	fear	1
1077	disparaged	anger	1
1078	displeased	sadness	1
1079	disrespected	sadness	1
1080	distressed	sadness	1
1081	distrustful	surprise	1
1082	dolorous	sadness	1
1083	doubtful	fear	1
1084	down	sadness	1
1085	downhearted	sadness	1
1086	dreadful	sadness	1
1087	dreary	sadness	1
1088	dubious	surprise	1
1089	dull	sadness	1
1090	duped	anger	1
1091	eager	surprise	1
1092	earnest	surprise	1
1093	ecstatic	joy	1
1094	elated	joy	1
1095	embarrassed	sadness	1
1096	empathetic	joy	1
1097	enchanted	surprise	1
1098	encouraged	fear	1
1099	engrossed	surprise	1
1100	enraged	anger	1
1101	enterprising	fear	1
1102	enthusiastic	joy	1
1103	entrusted	joy	1
1104	esteemed	joy	1
1105	excluded	sadness	1
1106	exempt	joy	1
1107	exhausted hopeless	sadness	1
1108	exhilarated	joy	1
1109	exploited	anger	1
1110	exposed	fear	1
1111	fabulous	joy	1
1112	fainthearted	fear	1
1113	fantastic	joy	1
1114	fascinated	surprise	1
1115	favored	joy	1
1116	fearful	fear	1
1117	fervent	surprise	1
1118	fervid	surprise	1
1119	festive	joy	1
1120	flat	sadness	1
1121	focused	joy	1
1122	forced	sadness	1
1123	forsaken	sadness	1
1124	framed	anger	1
1125	free	joy	1
1126	free & easy	joy	1
1127	frightened	fear	1
1128	frisky	joy	1
1129	frustrated	anger	1
1130	full of anticipation	surprise	1
1131	full of ennui	sadness	1
1132	fuming	anger	1
1133	funereal	sadness	1
1134	furious	anger	1
1135	gallant	fear	1
1136	genial	joy	1
1137	glad	joy	1
1138	gleeful	joy	1
1139	gloomy	sadness	1
1140	glum	sadness	1
1141	grief-stricken	sadness	1
1142	grieved	sadness	1
1143	guilt	sadness	1
1144	guilty	joy	1
1145	happy	joy	1
1146	hardy	fear	1
1147	heartbroken	sadness	1
1148	heavyhearted	sadness	1
1149	hesitant	fear	1
1150	high-spirited	joy	1
1151	hilarious	joy	1
1152	hopeful	surprise	1
1153	horny	fear	1
1154	horrified	fear	1
1155	hot and bothered	fear	1
1156	humiliated	sadness	1
1157	humorous	joy	1
1158	hurt	sadness	1
1159	hysterical	fear	1
1160	ignored	sadness	1
1161	ill at ease	sadness	1
1162	immobilized	sadness	1
1163	immune	joy	1
1164	important	joy	1
1165	impotent	sadness	1
1166	imprisoned	joy	1
